screen_capacity,movie_rating,ticket_price,days_since_release,seats_filled_pct
103,9.0,140,86,81.82
139,6.4,285,61,66.55
486,19.1,259,35,84.42
227,16.2,352,56,98.43
184,11.7,321,58,75.7
465,19.7,221,91,128.13
199,8.9,102,102,107.96
161,10.0,405,86,82.13
377,19.1,201,30,100.35
485,7.5,338,95,101.54
353,11.3,497,113,117.52
160,17.2,438,48,95.54
282,13.3,114,62,95.81
275,9.9,156,65,101.16
209,15.3,135,32,78.79
369,17.2,287,74,103.12
461,12.3,128,79,106.93
290,14.9,163,114,136.6
453,10.4,314,115,125.08
494,19.1,469,96,115.63
