screen_capacity,movie_rating,ticket_price,days_since_release,seats_filled_pct
319,6.3,312,32,65.04
466,5.9,101,21,64.44
276,4.3,327,3,22.68
278,5.6,332,36,59.58
145,4.9,132,10,46.32
326,2.7,100,48,53.87
346,6.9,480,54,70.68
377,6.2,255,9,48.42
287,6.0,294,27,47.85
175,3.0,199,44,52.3
279,2.0,200,48,58.03
291,9.1,434,16,46.77
260,4.9,440,22,39.41
231,7.7,130,32,60.11
481,7.3,198,35,77.09
326,9.4,221,10,64.29
297,7.7,212,49,65.17
483,7.4,284,27,54.62
280,5.1,407,54,56.48
207,1.9,479,31,36.12
492,5.3,111,46,66.53
320,5.7,235,52,66.51
389,6.3,403,21,53.4
134,9.1,238,11,51.73
132,6.4,145,51,63.9
